dates I C D F E HC HS HP HB IC IS IB
209 2020/10/12 0 541 6 0 0 0 0 0 48 0 0 0
210 2020/10/13 0 541 6 0 0 0 0 0 48 0 0 0
211 2020/10/14 2 543 6 0 0 0 0 0 48 0 0 0
212 2020/10/15 0 543 6 0 0 0 0 0 48 0 0 0
213 2020/10/16 1 544 6 0 0 0 0 0 48 0 0 0
214 2020/10/17 0 544 6 0 0 0 0 0 48 0 0 0
215 2020/10/18 0 544 6 0 0 0 2 2 48 0 0 0
216 2020/10/19 0 544 6 0 0 0 2 2 48 0 0 0
217 2020/10/20 2 546 6 0 0 0 0 0 48 0 0 0
218 2020/10/21 0 546 6 0 0 0 0 0 48 0 0 0
219 2020/10/22 1 547 6 0 0 0 1 1 48 0 0 0
